GEO UID,Province name,FED code,FED name,"Population, 2016",15 to 19 years; Males,20 to 24 years; Males,25 to 29 years; Males,30 to 34 years; Males,35 to 39 years; Males,40 to 44 years; Males,45 to 49 years; Males,50 to 54 years; Males,55 to 59 years; Males,60 to 64 years; Males,65 to 69 years; Males,70 to 74 years; Males,75 to 79 years; Males,80 to 84 years; Males,85 years and over; Males,15 to 19 years; Females,20 to 24 years; Females,25 to 29 years; Females,30 to 34 years; Female,35 to 39 years; Female,40 to 44 years; Females,45 to 49 years; Females,50 to 54 years; Females,55 to 59 years; Females,60 to 64 years; Females,65 to 69 years; Females,70 to 74 years; Females,75 to 79 years; Females,80 to 84 years; Female,85 years and over; Females,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,"Males 15 and over: No certificate, diploma or degree",Males 15 and over: Secondary (high) school diploma or equivalency certificate,"Males 15 and over: Postsecondary certificate, diploma or degree",Males 15 and over: Apprenticeship or trades certificate or diploma,"Males 15 and over: College, CEGEP or other non-university certificate or diploma",Males 15 and over: University certificate or diploma below bachelor level,"Males 15 and over: University certificate, diploma or degree at bachelor level or above","Males 25 to 64: No certificate, diploma or degree",Males 25 to 64: Secondary (high) school diploma or equivalency certificate,"Males 25 to 64: Postsecondary certificate, diploma or degree",Males 25 to 64: Apprenticeship or trades certificate or diploma,"Males 25 to 64: College, CEGEP or other non-university certificate or diploma",Males 25 to 64: University certificate or diploma below bachelor level,"Males 25 to 64: University certificate, diploma or degree at bachelor level or above","Females 15 and over: No certificate, diploma or degree",Females 15 and over: Secondary (high) school diploma or equivalency certificate,"Females 15 and over: Postsecondary certificate, diploma or degree",Females 15 and over: Apprenticeship or trades certificate or diploma,"Females 15 and over: College, CEGEP or other non-university certificate or diploma",Females 15 and over: University certificate or diploma below bachelor level,"Females 15 and over: University certificate, diploma or degree at bachelor level or above","Females 25 to 64: No certificate, diploma or degree",Females 25 to 64: Secondary (high) school diploma or equivalency certificate,"Females 25 to 64: Postsecondary certificate, diploma or degree",Females 25 to 64: Apprenticeship or trades certificate or diploma,"Females 25 to 64: College, CEGEP or other non-university certificate or diploma",Females 25 to 64: University certificate or diploma below bachelor level,"Females 25 to 64: University certificate, diploma or degree at bachelor level or above",,,,
10001,Newfoundland and Labrador,1,Avalon,86494,2345,2025,2180,2515,2650,3050,3185,3400,3375,3310,3035,2020,1230,670,400,2200,2070,2235,2725,2910,3120,3270,3525,3535,3460,3165,2015,1250,825,885,13815,17455,40260,9725,19330,1845,9360,6730,395,125,1960,150,5725,10650,31955,7130,15790,1280,7755,7155,7860,19895,7265,8180,800,3655,3270,4920,15370,5315,6570,620,2860,6655,9590,20365,2455,11150,1050,5710,2450,5735,16590,1815,9220,660,4890,0.255216693,35390,,0.202175756
10002,Newfoundland and Labrador,2,Bonavista--Burin--Trinity,74116,1915,1525,1320,1460,1760,2225,2745,3230,3320,3725,3430,2370,1445,850,555,1790,1335,1270,1600,1930,2385,2885,3265,3500,3735,3445,2370,1570,1030,1035,20205,15615,28080,8760,13750,1505,4070,2730,185,75,1015,70,9275,9865,21110,6290,10955,815,3055,9830,6630,15050,6700,6075,615,1660,4810,4075,10820,4710,4650,355,1105,10370,8985,13030,2055,7670,890,2410,4465,5795,10290,1575,6305,460,1950,,,,
10003,Newfoundland and Labrador,3,Coast of Bays--Central--Notre Dame,77680,2105,1630,1475,1605,1825,2380,2965,3220,3510,3445,3195,2320,1520,990,645,1995,1510,1535,1825,2115,2640,3100,3280,3610,3555,3375,2400,1680,1140,1020,20920,16965,28465,8075,13680,1210,5505,3760,290,165,1240,45,9550,10380,21925,5835,11020,735,4340,10350,7530,14530,5920,5760,455,2400,4970,4515,10815,4300,4525,295,1690,10570,9435,13940,2155,7920,755,3105,4585,5870,11115,1535,6495,440,2645,,,,
10004,Newfoundland and Labrador,4,Labrador,27197,910,840,935,960,930,1060,1160,1095,900,820,600,390,235,130,65,865,840,980,1030,940,1040,1110,985,895,750,560,365,235,130,100,5670,4715,11170,3130,5365,465,2210,1655,105,40,390,20,2745,3095,9625,2585,4720,330,1985,2850,2025,5980,2440,2550,175,815,1420,1265,5110,2050,2220,140,705,2820,2690,5195,685,2815,295,1395,1325,1830,4515,540,2500,195,1280,,,,
10005,Newfoundland and Labrador,5,Long Range Mountains,86553,2205,2025,1800,1835,1920,2515,3040,3635,3935,3965,3600,2490,1665,1050,720,2120,1955,1860,2030,2355,2760,3350,3935,4060,4130,3595,2675,1770,1290,1215,21450,18520,34115,8655,16100,1580,7785,5330,400,265,1625,170,9360,11015,26470,6265,13050,975,6175,10615,8150,17035,6220,6925,675,3220,4860,4900,12670,4435,5445,440,2355,10840,10370,17080,2435,9175,905,4565,4500,6115,13800,1835,7610,535,3820,,,,
10006,Newfoundland and Labrador,6,St. John's East / St. John's-Est,85697,2300,3240,3400,2910,2885,2975,2970,2995,2880,2470,2110,1610,985,655,485,2190,3295,3120,3060,3075,3095,3205,3260,3025,2765,2425,1770,1180,895,1030,9125,17140,44370,5195,15505,1900,21780,13100,930,845,5530,1375,3600,9040,35115,3695,12510,1195,17720,4660,8645,20890,3635,6400,780,10070,2040,4825,16435,2625,5200,530,8080,4460,8495,23485,1560,9110,1115,11710,1555,4215,18680,1070,7310,665,9640,,,,
10007,Newfoundland and Labrador,7,St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl,81979,2205,2630,2985,2905,2585,2535,2675,3160,3110,2830,2335,1530,940,545,365,2130,2780,3145,2950,2865,2730,3000,3640,3425,3065,2620,1855,1255,875,830,11470,19080,39325,5905,17525,1900,13990,9545,700,280,3050,420,4915,11160,31295,4275,13915,1350,11755,5705,9370,18035,4140,7025,780,6090,2595,5805,14160,3040,5570,595,4955,5770,9710,21290,1765,10500,1115,7905,2320,5355,17135,1235,8345,755,6795,,,,
11001,Prince Edward Island,1,Cardigan,36615,1140,1115,885,985,1070,1130,1210,1415,1380,1355,1325,860,515,350,220,1090,995,955,1015,1095,1175,1260,1495,1495,1435,1355,865,570,390,415,5285,7845,16555,2650,7325,885,5695,3860,335,150,1215,130,2160,4460,12455,1810,5675,570,4390,3120,3915,7465,1885,2945,320,2310,1435,2335,5475,1305,2290,210,1665,2165,3930,9095,770,4385,560,3380,720,2130,6975,510,3385,360,2725,,,,
11002,Prince Edward Island,2,Charlottetown,36094,1065,1435,1320,1060,910,985,1075,1195,1170,1255,1030,660,495,360,310,1020,1500,1325,1130,1115,1145,1240,1345,1380,1315,1225,905,735,600,790,4515,7675,17590,1670,6960,765,8190,5470,485,235,1610,390,1670,4060,12870,1055,4945,495,6375,2185,3940,7725,1115,2625,305,3680,815,2180,5715,725,1950,235,2795,2335,3725,9865,555,4340,470,4505,860,1880,7155,325,2990,260,3580,,,,
11003,Prince Edward Island,3,Egmont,34168,1125,905,750,795,905,985,1075,1345,1365,1245,1225,790,620,405,295,1010,830,840,905,950,1055,1145,1405,1450,1320,1285,855,695,580,545,7625,8590,11800,2210,6020,545,3025,2140,205,70,570,45,3360,5375,8665,1405,4580,290,2390,4325,4270,4950,1520,2145,165,1130,2115,2740,3505,955,1655,90,810,3295,4315,6850,685,3875,385,1900,1250,2630,5165,455,2930,200,1585,,,,
